[H[2J[3J------------  ---------------  ---------------  -------------  --------------
Fitness type  Population Size  Individual Size  Mutation Rate  Crossover Rate
rosenbrock    100              10               0.001          0.3
------------  ---------------  ---------------  -------------  --------------
##############################################################
Generation 	 Max Fit 	 Average Fit 	 % same 	
343 		 2650.8682 	 2650.8682 	 100.0000 %
344 		 1722.7432 	 1722.7432 	 100.0000 %
345 		 1827.8213 	 1827.8213 	 100.0000 %
346 		 1332.3057 	 1332.3057 	 100.0000 %
347 		 1332.3057 	 1332.3057 	 100.0000 %
348 		 842.4619 	 842.4619 	 100.0000 %
349 		 842.4619 	 842.4619 	 100.0000 %
350 		 43.6807 	 43.6807 	 100.0000 %
351 		 842.4619 	 842.4619 	 100.0000 %
352 		 842.4619 	 842.4619 	 100.0000 %
353 		 842.4619 	 842.4619 	 100.0000 %
354 		 631.2500 	 631.2500 	 100.0000 %
355 		 906.2500 	 906.2500 	 100.0000 %
356 		 906.2500 	 906.2500 	 100.0000 %
357 		 906.2500 	 906.2500 	 100.0000 %
358 		 906.2500 	 906.2500 	 100.0000 %
359 		 906.2500 	 906.2500 	 100.0000 %
360 		 906.2500 	 906.2500 	 100.0000 %
361 		 355.5625 	 355.5625 	 100.0000 %
362 		 462.7432 	 462.7432 	 100.0000 %
363 		 462.7432 	 462.7432 	 100.0000 %
364 		 41.6494 	 41.6494 	 100.0000 %
365 		 41.6494 	 41.6494 	 100.0000 %
366 		 913.9150 	 913.9150 	 100.0000 %
367 		 913.9150 	 913.9150 	 100.0000 %
368 		 913.9150 	 913.9150 	 100.0000 %
369 		 913.9150 	 913.9150 	 100.0000 %
370 		 316.2588 	 316.2588 	 100.0000 %
371 		 229.0000 	 229.0000 	 100.0000 %
372 		 229.0000 	 229.0000 	 100.0000 %
373 		 229.0000 	 229.0000 	 100.0000 %
374 		 760.2500 	 760.2500 	 100.0000 %
375 		 760.2500 	 760.2500 	 100.0000 %
376 		 913.9150 	 913.9150 	 100.0000 %
377 		 316.2588 	 316.2588 	 100.0000 %
378 		 193.3994 	 193.3994 	 100.0000 %
379 		 193.3994 	 193.3994 	 100.0000 %
380 		 193.3994 	 193.3994 	 100.0000 %
381 		 197.8994 	 197.8994 	 100.0000 %
382 		 268.0625 	 268.0625 	 100.0000 %
383 		 264.0625 	 264.0625 	 100.0000 %
384 		 59.0088 	 59.0088 	 100.0000 %
385 		 59.0088 	 59.0088 	 100.0000 %
386 		 59.0088 	 59.0088 	 100.0000 %
387 		 103.5400 	 103.5400 	 100.0000 %
388 		 80.5869 	 80.5869 	 100.0000 %
389 		 80.0869 	 80.0869 	 100.0000 %
390 		 13.6807 	 13.6807 	 100.0000 %
391 		 15.0625 	 15.0625 	 100.0000 %
392 		 15.0625 	 15.0625 	 100.0000 %
393 		 15.0625 	 15.0625 	 100.0000 %
394 		 1.8125 	 1.8125 	 100.0000 %
395 		 1.8125 	 1.8125 	 100.0000 %
396 		 1.8125 	 1.8125 	 100.0000 %
397 		 1.8125 	 1.8125 	 100.0000 %
398 		 1.8125 	 1.8125 	 100.0000 %
399 		 1.8125 	 1.8125 	 100.0000 %
400 		 1.8125 	 1.8125 	 100.0000 %
401 		 0.1650 	 0.1650 	 100.0000 %
402 		 7.1963 	 7.1963 	 100.0000 %
403 		 7.1963 	 7.1963 	 100.0000 %
404 		 26.7275 	 26.7275 	 100.0000 %
405 		 14.3125 	 14.3125 	 100.0000 %
406 		 26.7275 	 26.7275 	 100.0000 %
407 		 909.7900 	 909.7900 	 100.0000 %
408 		 513.6963 	 513.6963 	 100.0000 %
409 		 2039.4775 	 2039.4775 	 100.0000 %
410 		 2906.6494 	 2906.6494 	 100.0000 %
411 		 2914.1494 	 2914.1494 	 100.0000 %
412 		 2914.1494 	 2914.1494 	 100.0000 %
413 		 1936.0244 	 1936.0244 	 100.0000 %
414 		 272.6807 	 272.6807 	 100.0000 %
415 		 272.6807 	 272.6807 	 100.0000 %
416 		 272.6807 	 272.6807 	 100.0000 %
417 		 28.4775 	 28.4775 	 100.0000 %
418 		 28.4775 	 28.4775 	 100.0000 %
419 		 6.7588 	 6.7588 	 100.0000 %
420 		 2.1182 	 2.1182 	 100.0000 %
421 		 2.1182 	 2.1182 	 100.0000 %
422 		 0.1650 	 0.1650 	 100.0000 %
423 		 0.1650 	 0.1650 	 100.0000 %
424 		 0.1650 	 0.1650 	 100.0000 %
425 		 2.6650 	 2.6650 	 100.0000 %
426 		 2.6650 	 2.6650 	 100.0000 %
427 		 4.7119 	 4.7119 	 100.0000 %
428 		 126.5869 	 126.5869 	 100.0000 %
429 		 123.0869 	 123.0869 	 100.0000 %
430 		 302.6963 	 302.6963 	 100.0000 %
431 		 302.6963 	 302.6963 	 100.0000 %
432 		 220.7275 	 220.7275 	 100.0000 %
433 		 220.7275 	 220.7275 	 100.0000 %
434 		 244.7031 	 244.7031 	 100.0000 %
435 		 245.7031 	 245.7031 	 100.0000 %
436 		 245.7031 	 245.7031 	 100.0000 %
437 		 245.7031 	 245.7031 	 100.0000 %
438 		 226.0000 	 226.0000 	 100.0000 %
439 		 226.0000 	 226.0000 	 100.0000 %
440 		 101.0000 	 101.0000 	 100.0000 %
441 		 104.4150 	 104.4150 	 100.0000 %
442 		 157.2500 	 157.2500 	 100.0000 %
443 		 157.2500 	 157.2500 	 100.0000 %
444 		 157.2500 	 157.2500 	 100.0000 %
445 		 157.2500 	 157.2500 	 100.0000 %
446 		 157.2500 	 157.2500 	 100.0000 %
447 		 157.2500 	 157.2500 	 100.0000 %
448 		 157.2500 	 157.2500 	 100.0000 %
449 		 101.0000 	 101.0000 	 100.0000 %
450 		 101.0000 	 101.0000 	 100.0000 %
451 		 0.0000 	 0.0000 	 100.0000 %
